an4/an4/train/an4/wav/an1-mblw-b.wav,X I SIXTY ONE
an4/an4/train/an4/wav/an10-fjmd-b.wav,G TWO EIGHTY NINE
an4/an4/train/an4/wav/an100-mskh-b.wav,YES
an4/an4/train/an4/wav/an101-mrcb-b.wav,R E W Y EIGHT FIVE SIX
an4/an4/train/an4/wav/an102-mrcb-b.wav,NO
an4/an4/train/an4/wav/an103-mrcb-b.wav,ERASE G H X W FIVE ZERO FOUR EIGHT TWO
an4/an4/train/an4/wav/an104-mrcb-b.wav,START
an4/an4/train/an4/wav/an105-mrcb-b.wav,ENTER EIGHT FOUR
an4/an4/train/an4/wav/an106-mdxn-b.wav,ENTER ZERO
an4/an4/train/an4/wav/an107-mdxn-b.wav,T V A H FIFTY TWO FIFTY THREE
an4/an4/train/an4/wav/an108-mdxn-b.wav,ENTER FORTY ONE
an4/an4/train/an4/wav/an109-mdxn-b.wav,B V I Q G EIGHTY SIX
an4/an4/train/an4/wav/an110-mdxn-b.wav,ENTER SIXTY TWO THIRTY ONE
an4/an4/train/an4/wav/an111-mdcs2-b.wav,P U X P I FIVE
an4/an4/train/an4/wav/an112-mdcs2-b.wav,F Y Z O TWO TWO TWO
an4/an4/train/an4/wav/an113-mdcs2-b.wav,RUBOUT H A X X N SIX SEVEN NINE ONE
an4/an4/train/an4/wav/an114-mdcs2-b.wav,L R L Y U SEVEN THREE
an4/an4/train/an4/wav/an115-mdcs2-b.wav,RUBOUT O K T L E TWO EIGHT ONE
an4/an4/train/an4/wav/an116-fmjc-b.wav,O A M J ONE FIVE THREE
an4/an4/train/an4/wav/an117-fmjc-b.wav,RUBOUT M N Z L THREE SEVEN SEVEN
an4/an4/train/an4/wav/an118-fmjc-b.wav,RUBOUT J L Y Z TWO
an4/an4/train/an4/wav/an119-fmjc-b.wav,ENTER THIRTY FIVE
an4/an4/train/an4/wav/an120-fmjc-b.wav,RUBOUT Y Y F X ZERO
an4/an4/train/an4/wav/an121-fjdn-b.wav,HELP
an4/an4/train/an4/wav/an122-fjdn-b.wav,ENTER EIGHT TWO FOUR TWO
an4/an4/train/an4/wav/an123-fjdn-b.wav,ENTER FIFTY FOUR
an4/an4/train/an4/wav/an124-fjdn-b.wav,RUBOUT O Q I M I THIRTY TWO
an4/an4/train/an4/wav/an125-fjdn-b.wav,ENTER FIFTEEN
an4/an4/train/an4/wav/an126-mcen-b.wav,START
an4/an4/train/an4/wav/an127-mcen-b.wav,REPEAT
an4/an4/train/an4/wav/an128-mcen-b.wav,RUBOUT I T D K M FOUR SEVENTY ONE
an4/an4/train/an4/wav/an129-mcen-b.wav,ENTER SIXTY
an4/an4/train/an4/wav/an130-mcen-b.wav,HELP
an4/an4/train/an4/wav/an131-fkdo-b.wav,RUBOUT W L F X Y SEVEN OH SIX NINE
an4/an4/train/an4/wav/an132-fkdo-b.wav,GO
an4/an4/train/an4/wav/an133-fkdo-b.wav,REPEAT
an4/an4/train/an4/wav/an134-fkdo-b.wav,STOP
an4/an4/train/an4/wav/an135-fkdo-b.wav,RUBOUT U T F F EIGHT
an4/an4/train/an4/wav/an136-meab-b.wav,ERASE W E S F TWENTY FOUR OH THREE
an4/an4/train/an4/wav/an137-meab-b.wav,RUBOUT G U K E V NINE
an4/an4/train/an4/wav/an138-meab-b.wav,J Z A P SEVENTEEN
an4/an4/train/an4/wav/an139-meab-b.wav,ENTER EIGHT THIRTY TWO
an4/an4/train/an4/wav/an140-meab-b.wav,RUBOUT R E F V S ONE FIVE THREE THREE
an4/an4/train/an4/wav/an141-mcrt-b.wav,NO
an4/an4/train/an4/wav/an142-mcrt-b.wav,ENTER NINETY FOUR
an4/an4/train/an4/wav/an143-mcrt-b.wav,HELP
an4/an4/train/an4/wav/an144-mcrt-b.wav,RUBOUT F B M J SEVEN TEN
an4/an4/train/an4/wav/an145-mcrt-b.wav,ENTER SIX
an4/an4/train/an4/wav/an147-fclc-b.wav,Q E E A SIX
an4/an4/train/an4/wav/an148-fclc-b.wav,ERASE O J T K S THIRTY FIVE
an4/an4/train/an4/wav/an149-fclc-b.wav,ENTER NINE EIGHTY NINE
an4/an4/train/an4/wav/an150-fclc-b.wav,ERASE C K C W FOURTEEN EIGHTY FIVE
an4/an4/train/an4/wav/an151-mwhw-b.wav,H A H L E FOUR NINETY ONE
an4/an4/train/an4/wav/an152-mwhw-b.wav,START
an4/an4/train/an4/wav/an153-mwhw-b.wav,Y D N E D FORTY SEVEN
an4/an4/train/an4/wav/an154-mwhw-b.wav,RUBOUT P O O B EIGHT
an4/an4/train/an4/wav/an155-mwhw-b.wav,ENTER SIXTY
an4/an4/train/an4/wav/an156-mjes-b.wav,ERASE Q K X Y U ONE SIXTY TWO
an4/an4/train/an4/wav/an157-mjes-b.wav,ENTER THIRTY SEVEN
an4/an4/train/an4/wav/an158-mjes-b.wav,RUBOUT V E W Z SEVEN SEVENTY TWO
an4/an4/train/an4/wav/an159-mjes-b.wav,STOP
an4/an4/train/an4/wav/an16-mjdr-b.wav,E M B Z SIX EIGHT SIX
an4/an4/train/an4/wav/an160-mjes-b.wav,J C H E Q FIFTY EIGHT THOUSAND NINE THIRTY NINE
an4/an4/train/an4/wav/an161-mfaa-b.wav,H P D F T SIXTY THREE
an4/an4/train/an4/wav/an165-mfaa-b.wav,Y F J K TWO EIGHT
an4/an4/train/an4/wav/an166-fsrb-b.wav,A A I L ZERO
an4/an4/train/an4/wav/an167-fsrb-b.wav,ENTER FORTY SEVEN FORTY SEVEN
an4/an4/train/an4/wav/an168-fsrb-b.wav,RUBOUT L D R W TWENTY SIX
an4/an4/train/an4/wav/an169-fsrb-b.wav,ENTER SIXTY ONE
an4/an4/train/an4/wav/an170-fsrb-b.wav,ENTER FOUR FIFTY SIX
an4/an4/train/an4/wav/an171-mjda-b.wav,RUBOUT U G A M THIRTY NINE
an4/an4/train/an4/wav/an172-mjda-b.wav,ENTER EIGHT SEVENTY ONE
an4/an4/train/an4/wav/an173-mjda-b.wav,RUBOUT C T L E SEVENTY SIX TWELVE
an4/an4/train/an4/wav/an175-mjda-b.wav,HELP
an4/an4/train/an4/wav/an177-mjjs2-b.wav,START
an4/an4/train/an4/wav/an178-mjjs2-b.wav,NO
an4/an4/train/an4/wav/an179-mjjs2-b.wav,ERASE Q E J Q T SEVENTY SEVEN
an4/an4/train/an4/wav/an180-mjjs2-b.wav,YES
an4/an4/train/an4/wav/an181-fnsv-b.wav,A V M U FOUR FORTY TWO
an4/an4/train/an4/wav/an182-fnsv-b.wav,REPEAT
an4/an4/train/an4/wav/an183-fnsv-b.wav,O L K F FIVE FORTY FIVE
an4/an4/train/an4/wav/an184-fnsv-b.wav,NO
an4/an4/train/an4/wav/an185-fnsv-b.wav,HELP
an4/an4/train/an4/wav/an186-mkem-b.wav,ERASE V R F O FIVE
an4/an4/train/an4/wav/an187-mkem-b.wav,ENTER ONE THIRTY ONE
an4/an4/train/an4/wav/an188-mkem-b.wav,U S I Q N SEVENTY ONE
an4/an4/train/an4/wav/an189-mkem-b.wav,STOP
an4/an4/train/an4/wav/an19-mjdr-b.wav,RUBOUT O H G P D TWO NINE SEVEN SIX
an4/an4/train/an4/wav/an190-mkem-b.wav,RUBOUT U J M K NINE
an4/an4/train/an4/wav/an191-fmjd-b.wav,NO
an4/an4/train/an4/wav/an192-fmjd-b.wav,ERASE E O A C U THREE
